boutique.	3600	in	soa	v0n0.nic.boutique. hostmaster.donuts.email. 1767661088 7200 900 1209600 3600
0v7qub0fpfuecc8no69esp8e7eb63aot.boutique.	3600	in	rrsig	NSEC3 8 2 3600 20260122153048 20260101143048 5796 boutique. 1rHqlwa4Ucw7aJlN46rgtMZkXR4phBrl1fxu4bixgQvGinG8okn33X7wdE1M7xECpzIQ0F3u7MIi478/FLCaRY9V05qeJLJ4e9FIgHS1Ji9JTfNimfXjj3Dhx4uIyacG1WnT0pBh+V2Km7ZH8auwnWvS7sTimeX0Quc2HM07EFg=
0x.boutique.	3600	in	ds	36610 8 2 F9AC86B04A3369C395D3A068E44DBCCE86A938299B8990423F1B7370426F7B6B
0x.boutique.	3600	in	ns	dns100.ovh.net.
0x.boutique.	3600	in	ns	ns100.ovh.net.
0x.boutique.	3600	in	rrsig	DS 8 2 3600 20260122153048 20260101143048 5796 boutique. ctJe0dKTQ2xQCybklEDPCC8W/Ya2/BO8w8+8Qo5U1zF3xXQyXVFF6tI0kjZaNPA4KIMtb03zNEfwNimc30QUUrpVs1JpNdjN8RT/HCOFmaK8PvEwCgbBwLp16cm4V1kDEB3gd0cxCsLfu0t8MFOkqQz4vhrVOdl4d3vK3d2pNms=
100.boutique.	3600	in	ds	47638 13 2 A2FAC8EA4C52BA4A8B770E2F63CC46E07256D7D2B56F80F6930921081501BFB3
100.boutique.	3600	in	ns	launch1.spaceship.net.
100.boutique.	3600	in	ns	launch2.spaceship.net.
100.boutique.	3600	in	rrsig	DS 8 2 3600 20260122153048 20260101143048 5796 boutique. lsBWuUdcTv0OM9DOHCIhz2B6sC5TNuRK5Gv8CxAwfc2uBoF1oEdJWOB9bjuxazCyPfozKviB+3aq0jl3wlT4/ZhQka6q4XpCFVPD+xKlcu6gyiw7GYjdC1rfEqRvfqZ/YeIhwK0V13M3uAO2+xI2GgnmQJ2w4sHSLTeXXS2hIXc=
108.boutique.	3600	in	ns	ns1024.ui-dns.de.
