xn--fiq64b.	3600	in	soa	a.zdnscloud.com. td_dns_gtld.knet.cn. 1341164390 600 3600 1209600 3600
4qrcl6rbvcqm6fqar4tcr12jrjs6jhum.xn--fiq64b.	3600	in	nsec3	1 0 0 - 570SHE62ER5SHOBA17QC03A4OT412QLO NS
4qrcl6rbvcqm6fqar4tcr12jrjs6jhum.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. ViF85+hi4ZkH1fRyiB806VcSo2D2E0O51ck00cYeR2xSpuDI4nsUsgDK1sgHQiZnJOFntDprSrDdW0pxB9kOL0BBmNbRlVLes64qayZVUHl0mRshZa8P+WtRi0ZayW3A9a/ncyPVgKAUPxgWv3hP9wkkt9gQkUM1aVMOdPkRti8=
570she62er5shoba17qc03a4ot412qlo.xn--fiq64b.	3600	in	nsec3	1 0 0 - 58MJPDIK7EGRBB7650P43CF30DEJJ36M NS
570she62er5shoba17qc03a4ot412qlo.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. ErLwAe1bLbjM6Fkv1jeydztQ7d21ZNBAaHRxdaM4sYRrrbWbhkiSYkPRdHOVc/q9cDyWikT6unANXD0/4lM7cv8uVf+/ElFnoPxZs6QfpC4GhESmC6Fzt4cA13o5FhdYLGH9dKcQmnaFOaTkdVK2yVf01Dm5OHrYG6NgDgVyO9U=
58mjpdik7egrbb7650p43cf30dejj36m.xn--fiq64b.	3600	in	nsec3	1 0 0 - 5LNU5ERG6AE4UCVV26TI1TRQQBJSP2PI NS
58mjpdik7egrbb7650p43cf30dejj36m.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. uA3JNcO6Z3cC3T0YKShTWaNvij5pDFSf4duCiiTCeYGBG+2Fu0QHgcL6T4vVJlOjPAvFV/NmC6atR6Q8J0TJlwkyseQJUUt4H2vHj+jvIReE6sAi3I2P0IVEDfBG75AOv079WtgALrC7PLoFpWp160oaxA5VOavMxK0+1GVAamo=
5lnu5erg6ae4ucvv26ti1trqqbjsp2pi.xn--fiq64b.	3600	in	nsec3	1 0 0 - 5PRGTP3JIQCMK4IE7GB8OU16FPK4EJNP NS
5lnu5erg6ae4ucvv26ti1trqqbjsp2pi.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. T1Lp/1lFVYZzwR8RPb68LnCW2W71Z4PPIzP9Wmfu7gfwF4D5a5Ek2l783eq4LwJpUBZYxP5WAPYVLiBF1i5VR1a+F5/EZ+F0OylJVvSDFWNSxP4lYFGjWPeQFcZy5pUWBNWuMaYOezvvs3VLIf4IowO/eW8nK/QFueV7vwI6Or0=
5prgtp3jiqcmk4ie7gb8ou16fpk4ejnp.xn--fiq64b.	3600	in	nsec3	1 0 0 - 5QGIU4Q137OU9EF9EQPHPFLUAPFKEPDF NS
5prgtp3jiqcmk4ie7gb8ou16fpk4ejnp.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. dMUv6tlEfFziaRKQxI3mh+wMZqmEFkvHyuB3ysXser/o/dFS2FJHa5uFZFICphwmluE1U3RCvU131lQYnL8cZN4ToqdrGPZr9Bk5582l8jI2mHyhMAxZj4DSnLRpLTGBoywjd7BIQtodDZ42MvrsHmIwChjvDzBKm7JET0yuWSc=
