01j5mkqio00b16aje3l1g8t6agvo7eet.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. CKhPBCO5UTd4yCLw9AQHrLLRRl0844ZHk/JXTkJqHHStO5jGIyLjCQdyZz7hVYoV889jxRy7I14y8eFezkCEjZ60SpjMiGUmpT9LE3GeBJT3o2d8DEjW993kRL3riRg/V+XkTnyB26rOCQwrFT6ra2upv5iSituhTwzC83FUZ1o=
01lsdjdo47sv3uvfgmm443pmc6cfuds6.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01NAE0R48SU37RHUOEDTSVN484D4EAB3 NS
01lsdjdo47sv3uvfgmm443pmc6cfuds6.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. OlS9iphzXJtmUS/CjyoIUNYbstL0AFoLwtUruRNTwm/ZNFY8AhckzMD/DzaGjgebh62VIJWexFy+Y80YLbaektC+AavkR2oRqpScPUgEz8of+LSpMbxdzf+rrZalheZQwhv/n1aPwEK8ddz+xNaflANE6M5WYGYl7T9eOf3bSt0=
01nae0r48su37rhuoedtsvn484d4eab3.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01NED2SLT6ILQ29L5428BCNHFQF26HRU NS
01nae0r48su37rhuoedtsvn484d4eab3.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. SphUvASUqWchz9UJNCLs3XAk4/hwaUn2LrQW3X2U6FPByYC2j2lBmDDQhr+abeUd7aKlYxlwM/DK2P/AKqfjX8GHgebZeAmqZg8kCyi3SyWrolKkobBOvnVGvMDnp7LVQ1sJnqH//QQDQNtfmlIkuUZ65QK4e85zcC05pG0jaKs=
01ned2slt6ilq29l5428bcnhfqf26hru.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01PK7EKBOMH8NG18E8UE7S0N2MQ8SA9F NS
01ned2slt6ilq29l5428bcnhfqf26hru.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. Yy3rPmFjNBg7ThnCyHMyukU1M+iCLkW+1Zdsm8L0inLUbeFtqBFMOzPa2cV3kREp9z7ygFa8+hGVN16HORkEf17Qqm2sC11eKf8xYqfYDgvy/MHSSLt0oivQvFetluSu5KvBlOVlmhg0qNTtnd78XFEVcCab2e8oRTvwJTGf1QU=
01pay.ing.	10800	in	ns	launch1.spaceship.net.
01pay.ing.	10800	in	ns	launch2.spaceship.net.
01pay.ing.	3600	in	ds	18633 13 2 947D3D3C5F6989DD7AB4ED031748115645D28B3CE5FBCAACF03D1BB049D4BF2D
01pay.ing.	3600	in	rrsig	DS 8 2 3600 20251001084737 20250909084737 8535 ing. gKRszTbM9gS81Qj2MHfANKwnPlY8SacSGITQ8YVVvOppp/QhGJeCFCopRyg3k4U37jS2yZUslv7UmhCKh3JcaJvpgPNXGavMBXwSFPo9CiiA9p/7MYWP/68k9nNj0R7mkzAYXJP3MCeyH8MuNROfnHNVhRAmo/ucV7+CXcRDMEs=
01pk7ekbomh8ng18e8ue7s0n2mq8sa9f.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01QF38FH2PSF6B4AKED5J1RC0497H3IC NS
01pk7ekbomh8ng18e8ue7s0n2mq8sa9f.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. Omc4r8lwdRNLYSX5exj1OALENQxVJFM9+hbUQ/DXoIGmY1xxpbit9KMy30mIlGP5AhuZ6s+o+Iugl6YVLFWAlIEdu894RO/cfRfaDZdIJerfX41qhFbNvrnpplfWIF8lv4lnisCYOFe9oxmeQcLCcK+OCR1X7TMPPZXe9jlCUmQ=
01qf38fh2psf6b4aked5j1rc0497h3ic.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01VNJAUTUTVTN3O3AQT150G800760JQC NS
01qf38fh2psf6b4aked5j1rc0497h3ic.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. L3k8E2smy3fi4PDiWmdOeJ+QmFqcut2Fz9arhUD1nSP7Gdj34puHpLAR1sQQemBMrvjQhb7GsBfIcg4rIcXU30+LgdQlSsbnDdBjr5ZAyxT3aZRduMc/5rzaNQmvzsqA2xEh2QcghV/wm6i3+oG0KbSksYR0rGtKT1wdi7dI7mU=
01vnjaututvtn3o3aqt150g800760jqc.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 0267H86B1770JRGTH3FHPEL8P5KJPE9E NS
01vnjaututvtn3o3aqt150g800760jqc.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. QIB6OTT5zaEHsH1yt1yckFFt1M2HjZVaeDteHDCwWzk7QlNNJjeTROYkSMPY8BbToh1sNkfC1bMeGnCiGmtd41PIZRviLZFZh6esenRwem2JC2zfS41hBV44NGwU/nrP88JOnKkPOD6vMZhQYJqq1mCPMeVKZfbb24Uucj3LF/Y=
021.ing.	10800	in	ns	dns1.registrar-servers.com.
021.ing.	10800	in	ns	dns2.registrar-servers.com.
0267h86b1770jrgth3fhpel8p5kjpe9e.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 027ODEAD0UPA9E5OEKRALPMKA9HOKA4V NS
0267h86b1770jrgth3fhpel8p5kjpe9e.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. d7WWHYDE+hnnliEX0ONqm+1eRRu4wTMWHkDN75dfcqXHM6uisdAHRPTZ0K2D++K5XUOHenLAJ5gP26zfsZ0Z/FVEy3REy0iBoNRVAqC83dic4Ijed75B6KZpG7xcP8JAiEg7eFX10vNirn+xgZLuGn3IP0btWKChB4F3w7Zo8+0=
027odead0upa9e5oekralpmka9hoka4v.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 02AQKPKIL9FKHCO7VV6DGLFJH5IK3MG2 NS
027odead0upa9e5oekralpmka9hoka4v.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. VY/I/ndlgWgMKWYMoTnvOZhBz/rY0LSJZmy6jIxyeySEyyNmMZ1CH7O5Y5XzLEya2IUHNLfnXDr/q5xKOmOtAnEq77xbpn1ibtsh6nG/GrikRiRpytAU1CR0pRPzuDs5LrbJ+7cZBf23EWMsD+90FiBrx5hN1qXUaCEXYX43VmE=
02aqkpkil9fkhco7vv6dglfjh5ik3mg2.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 02B3JMJNF73RE19FGBBEP15SVOTM81A4 NS
