68589.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
68852.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
68852.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
68852.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
69179.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
69179.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
6958.xn--d1acj3b.	86400	in	ns	ns6.netsto.net.
6958.xn--d1acj3b.	86400	in	ns	ns7.netsto.net.
69746.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
69746.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
69746.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
69953.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
69953.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
70784.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
70784.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
70784.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
71537.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
71537.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
71537.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
72236.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
72236.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
72236.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
73333.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
73333.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
73333.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
7337.xn--d1acj3b.	86400	in	ns	ns6.netsto.net.
7337.xn--d1acj3b.	86400	in	ns	ns7.netsto.net.
74351.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
74351.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
76321.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
76321.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
76321.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
76619.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
76619.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
76619.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
777.xn--d1acj3b.	86400	in	ns	ns6.netsto.net.
777.xn--d1acj3b.	86400	in	ns	ns7.netsto.net.
77854.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
77854.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
77854.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
7o18hulio84j1suvpb9mdamns36kbndp.xn--d1acj3b.	3600	in	nsec3	1 1 0 - VGR4R0C14FJUI7GRR4GLJPD2H6Q9GUQP NS SOA RRSIG DNSKEY NSEC3PARAM
7o18hulio84j1suvpb9mdamns36kbndp.xn--d1acj3b.	3600	in	rrsig	NSEC3 8 2 3600 20250919152425 20250818124511 12279 xn--d1acj3b. AMi1pjRROLW5mLZB+5mW9F+HhWZt6h84Jhd7EINj0gtxZSdAp1mBXSIcsbYpmfke+C8muawTkk5BUJGqaZPh5noBVz4Ck9w1w0Q5kY7ISpGSv2enLZnxHtuyX7b3hedMKZwThD5x69BZFlezjkoOFP5bndHw5iZppDfkTSe/56E=
81338.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
81338.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
81338.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
81895.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
81895.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
81895.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
84126.xn--d1acj3b.	86400	in	ns	ns1.yunxns.com.
84126.xn--d1acj3b.	86400	in	ns	ns2.yunxns.com.
85048.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
85048.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
85048.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
