abc8.fishing.	3600	in	ns	lochlan.ns.cloudflare.com.
abc8.fishing.	3600	in	ns	rita.ns.cloudflare.com.
abcde.fishing.	3600	in	ns	n1.xundns.com.
abcde.fishing.	3600	in	ns	n2.xundns.com.
ables.fishing.	172800	in	ns	dns1.registrar-servers.com.
ables.fishing.	172800	in	ns	dns2.registrar-servers.com.
abyat.fishing.	172800	in	ns	dns1.registrar-servers.com.
abyat.fishing.	172800	in	ns	dns2.registrar-servers.com.
accharters.fishing.	172800	in	ns	ns65.domaincontrol.com.
accharters.fishing.	172800	in	ns	ns66.domaincontrol.com.
accommodation.fishing.	172800	in	ns	ns.dns1.co.za.
accommodation.fishing.	172800	in	ns	ns.dns2.co.za.
accommodation.fishing.	172800	in	ns	ns.otherdns.com.
accommodation.fishing.	172800	in	ns	ns.otherdns.net.
adamjohnson.fishing.	172800	in	ns	ns1psw.name.com.
adamjohnson.fishing.	172800	in	ns	ns2nsy.name.com.
adamjohnson.fishing.	172800	in	ns	ns3gnv.name.com.
adamjohnson.fishing.	172800	in	ns	ns4cjp.name.com.
addicted.fishing.	172800	in	ns	ns49.domaincontrol.com.
addicted.fishing.	172800	in	ns	ns50.domaincontrol.com.
admin.fishing.	3600	in	ns	ns1.whoisdomain.kr.
admin.fishing.	3600	in	ns	ns2.whoisdomain.kr.
admin.fishing.	3600	in	ns	ns3.whoisdomain.kr.
admin.fishing.	3600	in	ns	ns4.whoisdomain.kr.
ado.fishing.	3600	in	ds	42943 13 2 EE86D6818744E9211C406D27D369835F73CEA94AB6FCC0755AABB4BE6F2FD6DB
ado.fishing.	3600	in	ns	ns1.world4you.at.
ado.fishing.	3600	in	ns	ns2.world4you.at.
ado.fishing.	3600	in	rrsig	DS 8 2 3600 20250914003025 20250830233152 47751 fishing. leW3XAb8GdU21ZOiXE+C6xQRURoyOLcTgnyLmpdXPXENL8NQLQg+i0vX38sHukq3umlmgexfOsO3nGVBwlv5Qun1IlouV5Who8zSNZ4nQo13c5qSjZjDzV02ur2QR6VReRkY0HxmWD/aMwqBmXYCYqLAMeZHxF4ybLlU5jYF9QVrsUT+OZKRgfRDp305x4Pw0NRVaxaDPEQyFeQ6PdIz6g==
adrenaline.fishing.	3600	in	ns	ns17.inhostedns.com.
adrenaline.fishing.	3600	in	ns	ns27.inhostedns.net.
adrenaline.fishing.	3600	in	ns	ns37.inhostedns.org.
adsense.fishing.	172800	in	ns	ns1.google.com.
adsense.fishing.	172800	in	ns	ns2.google.com.
adsense.fishing.	172800	in	ns	ns3.google.com.
adsense.fishing.	172800	in	ns	ns4.google.com.
advanta.fishing.	172800	in	ns	ns49.domaincontrol.com.
advanta.fishing.	172800	in	ns	ns50.domaincontrol.com.
adventure.fishing.	3600	in	ns	ns31.domaincontrol.com.
adventure.fishing.	3600	in	ns	ns32.domaincontrol.com.
adwords.fishing.	172800	in	ns	ns1.google.com.
adwords.fishing.	172800	in	ns	ns2.google.com.
adwords.fishing.	172800	in	ns	ns3.google.com.
adwords.fishing.	172800	in	ns	ns4.google.com.
ae888.fishing.	3600	in	ns	cora.ns.cloudflare.com.
ae888.fishing.	3600	in	ns	kyrie.ns.cloudflare.com.
aexeo.fishing.	3600	in	ns	dns1.cscdns.net.
aexeo.fishing.	3600	in	ns	dns2.cscdns.net.
afanasovo.fishing.	3600	in	ns	ns3-l2.nic.ru.
afanasovo.fishing.	3600	in	ns	ns4-cloud.nic.ru.
afanasovo.fishing.	3600	in	ns	ns4-l2.nic.ru.
afanasovo.fishing.	3600	in	ns	ns8-cloud.nic.ru.
afanasovo.fishing.	3600	in	ns	ns8-l2.nic.ru.
afsak.fishing.	3600	in	ns	ns1.dyna-ns.net.
afsak.fishing.	3600	in	ns	ns2.dyna-ns.net.
aftco.fishing.	172800	in	ns	ns09.domaincontrol.com.
aftco.fishing.	172800	in	ns	ns10.domaincontrol.com.
againstthewind.fishing.	172800	in	ns	ns63.domaincontrol.com.
againstthewind.fishing.	172800	in	ns	ns64.domaincontrol.com.
agdklx.fishing.	3600	in	ns	n1.xundns.com.
agdklx.fishing.	3600	in	ns	n2.xundns.com.
ageau.fishing.	3600	in	ns	ns1.dyna-ns.net.
ageau.fishing.	3600	in	ns	ns2.dyna-ns.net.
agnlq.fishing.	3600	in	ns	ns1.dnsip.com.
agnlq.fishing.	3600	in	ns	ns2.dnsip.com.
agotr.fishing.	3600	in	ns	ns1.dnsip.com.
agotr.fishing.	3600	in	ns	ns2.dnsip.com.
ahzcm.fishing.	3600	in	ns	n1.xundns.com.
ahzcm.fishing.	3600	in	ns	n2.xundns.com.
ai.fishing.	3600	in	ns	ns1.contabo.net.
ai.fishing.	3600	in	ns	ns2.contabo.net.
aiagents.fishing.	3600	in	ds	31030 13 2 A11C49895BE70947483F8BFAE1BD5A6C6F29420AFB5B6B19206891D7C765076D
aiagents.fishing.	3600	in	ns	launch1.spaceship.net.
aiagents.fishing.	3600	in	ns	launch2.spaceship.net.
aiagents.fishing.	3600	in	rrsig	DS 8 2 3600 20250917105912 20250903101933 47751 fishing. PgvZns0bcnAP1StUyuscTSducHcYBN5wpq3xXnitE4/43vy5q0vFLeZLQYGb63uk9p2MM4zBkITuFD2fd88djHOs+G1VPLKl3ppMR3Cwc2wFWb/2Rl7YY5qxkSC+nHtWLcJQqGOUriqlpArCEgH5GOWzAVyK5uNTsKrkKtuF99hmpc9lty3wkKjhpfAdFQ5kRGf7Kst1zDS0l615hPYGaw==
aiqke.fishing.	3600	in	ns	ns1.dyna-ns.net.
aiqke.fishing.	3600	in	ns	ns2.dyna-ns.net.
ak.fishing.	3600	in	ns	dns101.register.com.
ak.fishing.	3600	in	ns	dns102.register.com.
aklol.fishing.	3600	in	ns	ns1.dyna-ns.net.
aklol.fishing.	3600	in	ns	ns2.dyna-ns.net.
alan.fishing.	3600	in	ns	ns63.domaincontrol.com.
alan.fishing.	3600	in	ns	ns64.domaincontrol.com.
aland.fishing.	3600	in	ns	ns1.loopia.se.
aland.fishing.	3600	in	ns	ns2.loopia.se.
alaska.fishing.	3600	in	ns	buynow.nametime.com.
alaska.fishing.	3600	in	ns	forsale.nametime.com.
alaskalodge.fishing.	172800	in	ns	ns1.ipower.com.
alaskalodge.fishing.	172800	in	ns	ns2.ipower.com.
alaskalodges.fishing.	172800	in	ns	ns1.ipower.com.
alaskalodges.fishing.	172800	in	ns	ns2.ipower.com.
alaskan.fishing.	3600	in	ns	ns73.domaincontrol.com.
alaskan.fishing.	3600	in	ns	ns74.domaincontrol.com.
albacora.fishing.	172800	in	ns	dns27.servidoresdns.net.
albacora.fishing.	172800	in	ns	dns28.servidoresdns.net.
