01b.wtf.	3600	in	rrsig	DS 8 2 3600 20260207151729 20260117141729 17028 wtf. btOJnR4eydtOX+WQ3mgcM2zL0fzruWZcFsyG7M6+ySBfeSg+rx/K9T/3fFXqJpo0T7hS9xytHoNe5hEBPmzPUWiuPR5oeV0f4xSos4GKMTxxcHD6lJNEVzb9IgkIgOJ/hiIcpzOcVimJGILP/rQp6FKuZAhwyhSb+7rD4rVE+QI=
01i.wtf.	3600	in	ds	36909 13 2 732FB42C7115311D7E7EBCAA4D555A9BB90E83ECF4B0718CDB8EE74C585957F2
01i.wtf.	3600	in	ns	launch1.spaceship.net.
01i.wtf.	3600	in	ns	launch2.spaceship.net.
01i.wtf.	3600	in	rrsig	DS 8 2 3600 20260207151729 20260117141729 17028 wtf. V8AwYBxvctKtM0KbADjelxfAdX5AknkzeMXSU+h5+REfgCCPROMhAt8K9aR+1Wk1ekG3eg3p0eUVK1BgfoiKnGD9s10zo3+MvwTA1SBOo6Ha+2Id39ruaCCliz8zjXUXNXaEd6oi1MN1HpMYA+evWjy/B5xjFsGyedShjHpV9oQ=
01jila5d4rm77r7qjtfsirqu7oe06fgk.wtf.	3600	in	nsec3	1 1 0 73 01T29D3N0ST8V8P1VOU609Q9MM16SJDC NS DS RRSIG
01jila5d4rm77r7qjtfsirqu7oe06fgk.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. MNcpwbijQTwKjkLBVMZysyPtljMLI1rbFJV9532nnk/9MS0fjMMRtdE7q7p6ygqLyUiGh5TU1Wy2fMH2lKpA2x4o4t+bEMJwK/qEB/vEMr14WJ5d+BrJn8fqCI0QJ4304o5sv9JhG3h2Zku210DtBhbb/67MTp8w3MPvJwJ7/1Q=
01o.wtf.	3600	in	ns	ns1016.ui-dns.org.
01o.wtf.	3600	in	ns	ns1032.ui-dns.de.
01o.wtf.	3600	in	ns	ns1037.ui-dns.biz.
01o.wtf.	3600	in	ns	ns1046.ui-dns.com.
01s.wtf.	3600	in	ns	curitiba.ns.porkbun.com.
01s.wtf.	3600	in	ns	fortaleza.ns.porkbun.com.
01s.wtf.	3600	in	ns	maceio.ns.porkbun.com.
01s.wtf.	3600	in	ns	salvador.ns.porkbun.com.
01sensei.wtf.	3600	in	ns	curitiba.ns.porkbun.com.
01sensei.wtf.	3600	in	ns	fortaleza.ns.porkbun.com.
01sensei.wtf.	3600	in	ns	maceio.ns.porkbun.com.
01sensei.wtf.	3600	in	ns	salvador.ns.porkbun.com.
01t29d3n0st8v8p1vou609q9mm16sjdc.wtf.	3600	in	nsec3	1 1 0 73 02B38LPTTHNL6U3VR6MMA347TTTHMF3O NS DS RRSIG
01t29d3n0st8v8p1vou609q9mm16sjdc.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. OuS7tlfmi0raCcAUvmWEu8zcOxdoM+9GQDPtgH3+6oDu4dvHpdgk5MjvO7TU31N65h6pBhWN9XTEQsT0t7pJEGI+6XT4EPcV4k7eI4rTGlmGFsjWVabvEO0KppzVloOTZDRxBd0hs3rM33vfN+8QM0fzLbGi3b7V+xNgPfjIhMU=
01x.wtf.	3600	in	ds	21077 13 2 3E351445B8A65AD2364F3E2FCB5A56B25749759C11B2FAD5AA3FDCC66A452A34
01x.wtf.	3600	in	ns	launch1.spaceship.net.
01x.wtf.	3600	in	ns	launch2.spaceship.net.
