ailab.istanbul.	3600	in	ns	ns40.domaincontrol.com.
airambulance.istanbul.	3600	in	ns	cpns1.turhost.com.
airambulance.istanbul.	3600	in	ns	cpns2.turhost.com.
aircargo.istanbul.	3600	in	ns	eu.dnsenable.com.
aircargo.istanbul.	3600	in	ns	tr.dnsenable.com.
airfrance.istanbul.	3600	in	ns	ns-151-c.gandi.net.
airfrance.istanbul.	3600	in	ns	ns-64-a.gandi.net.
airfrance.istanbul.	3600	in	ns	ns-79-b.gandi.net.
airnet.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
airnet.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
airport-transfer.istanbul.	3600	in	ns	clayton.ns.cloudflare.com.
airport-transfer.istanbul.	3600	in	ns	perla.ns.cloudflare.com.
airportcity.istanbul.	3600	in	ns	tr.dnsenable.com.
airportcity.istanbul.	3600	in	ns	us.dnsenable.com.
airportrentacar.istanbul.	3600	in	ns	ns1.natrohost.com.
airportrentacar.istanbul.	3600	in	ns	ns2.natrohost.com.
airports.istanbul.	3600	in	ns	ns53.domaincontrol.com.
airports.istanbul.	3600	in	ns	ns54.domaincontrol.com.
airporttaxi.istanbul.	3600	in	ns	ns05.domaincontrol.com.
airporttaxi.istanbul.	3600	in	ns	ns06.domaincontrol.com.
airporttransfer.istanbul.	3600	in	ns	cpns1.turhost.com.
airporttransfer.istanbul.	3600	in	ns	cpns2.turhost.com.
airquality.istanbul.	3600	in	ns	dns1.ibb.gov.tr.
airquality.istanbul.	3600	in	ns	dns2.ibb.gov.tr.
airtaxi.istanbul.	3600	in	ns	eu.dnsenable.com.
airtaxi.istanbul.	3600	in	ns	tr.dnsenable.com.
airties.istanbul.	3600	in	ns	ns-216-b.gandi.net.
airties.istanbul.	3600	in	ns	ns-26-c.gandi.net.
airties.istanbul.	3600	in	ns	ns-90-a.gandi.net.
aistanbul.istanbul.	3600	in	ns	ashton.ns.cloudflare.com.
aistanbul.istanbul.	3600	in	ns	dayana.ns.cloudflare.com.
ajans.istanbul.	3600	in	ns	ns1.turkticaret.net.
ajans.istanbul.	3600	in	ns	ns3.turkticaret.net.
ajax.istanbul.	3600	in	ns	ns13.birenter.com.
ajax.istanbul.	3600	in	ns	ns14.birenter.com.
ajet.istanbul.	3600	in	ns	ns1.turkticaret.net.
ajet.istanbul.	3600	in	ns	ns3.turkticaret.net.
akademi.istanbul.	3600	in	ns	jacob.ns.cloudflare.com.
akademi.istanbul.	3600	in	ns	liz.ns.cloudflare.com.
akar.istanbul.	3600	in	ns	ns15.domserver.de.
akar.istanbul.	3600	in	ns	ns16.domserver.de.
akar.istanbul.	3600	in	ns	ns17.domserver.de.
akar.istanbul.	3600	in	ns	ns18.domserver.de.
akasyakultursanat.istanbul.	3600	in	ns	ns51.domaincontrol.com.
akasyakultursanat.istanbul.	3600	in	ns	ns52.domaincontrol.com.
akbas.istanbul.	3600	in	ns	ns1.wordpress.com.
akbas.istanbul.	3600	in	ns	ns2.wordpress.com.
akbas.istanbul.	3600	in	ns	ns3.wordpress.com.
akcan.istanbul.	3600	in	ns	ns1.natrohost.com.
akcan.istanbul.	3600	in	ns	ns2.natrohost.com.
akdemir.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
akdemir.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
akdnclothingmanufacturer.istanbul.	3600	in	ns	ns75.domaincontrol.com.
akdnclothingmanufacturer.istanbul.	3600	in	ns	ns76.domaincontrol.com.
akfen.istanbul.	3600	in	ns	ns1.xeonbase.com.
akfen.istanbul.	3600	in	ns	ns2.xeonbase.com.
akilfikirbulusmasi.istanbul.	3600	in	ns	ns1.teb.com.tr.
akilfikirbulusmasi.istanbul.	3600	in	ns	ns2.teb.com.tr.
akilfikirbulusmasi.istanbul.	3600	in	ns	ns3.teb.com.tr.
akilfikirbulusmasi.istanbul.	3600	in	ns	ns4.teb.com.tr.
akilfikirkampusu.istanbul.	3600	in	ns	ns1.teb.com.tr.
akilfikirkampusu.istanbul.	3600	in	ns	ns2.teb.com.tr.
akilfikirkampusu.istanbul.	3600	in	ns	ns3.teb.com.tr.
akilfikirkampusu.istanbul.	3600	in	ns	ns4.teb.com.tr.
akillikent.istanbul.	3600	in	ns	ns1.turkticaret.net.
akillikent.istanbul.	3600	in	ns	ns3.turkticaret.net.
akillisehir.istanbul.	3600	in	ns	dns1.ibb.gov.tr.
akillisehir.istanbul.	3600	in	ns	dns2.ibb.gov.tr.
akilliulasim.istanbul.	3600	in	ns	dns.beyaz.net.
akilliulasim.istanbul.	3600	in	ns	tramvay.iett.gov.tr.
akilozcay.istanbul.	3600	in	ns	ns1.teb.com.tr.
