gal.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2509110038 7200 7200 604800 900
04736cvm66hcmap3a7dla7g2apfn8rbi.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. ZnDUluLUSrM0//o22dyhJ/n2UQ7pUPdSLVdHxVp07IporgTwq/2+cNbXkS/MK6cW+x3aK0wyHsEgjFNYs+aIk+H1kkCPWOa8W/YZEDaIMErwmFjRC5fpmk3aFrxOFJvwz1ELlluda5MJebM5rZqsjfYKWNfXPIe/j6EwICqDVx9jUQC/eRp6AFeBjAroTnsyyh7rFnRR7yiBpaz7roktfA==
04dah1rvtn2gq7p9cd1sr6ko1ve5huaf.gal.	43200	in	nsec3	1 0 0 - 04E10IAI1TL7QLLCQHNNEUQJS09PLDGQ NS
04dah1rvtn2gq7p9cd1sr6ko1ve5huaf.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. bH3SZf0p520WJ0jG+Qr3hzAz2AiWMvjLuU/dToftdSUydgxdhscSATL7/NBVqAWaLXWDhSfuitnI9XZvF8gvISra20aEq4vBrR/HmxpLd81dr3Y7K1WroaEd4L+NH1wtOMrwyF40byJnT/K4rO6x9Y6NJGbdiayh2Q0Ptq8T8hBN5+FjlrlKYrr2LeWppuYu0mQAnEfUyxUmCmJo6mWfbw==
04e10iai1tl7qllcqhnneuqjs09pldgq.gal.	43200	in	nsec3	1 0 0 - 0598Q5R84MS4HNM53NNBJKKDI2788RHI NS
04e10iai1tl7qllcqhnneuqjs09pldgq.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. K2/ckWrg9aHiBHDsqHKUsuVgqoQA3ea0iAPNu/nZGp0XCqz3xOrOjgiULpgsPyZdlsQmqLqrqH0cKvLn+hrg2cIjkERcuquoZYjl/NWuyfslBWH8YL6ILTuRMLTP5wWUDcNrULI0QiPeTTeSyfnpZO103szlfqECOA8cZpV8CLuFblAmyPE/M3EZ3d+1/Yh8Svg9FMS+8nScrCRbfLenHg==
0598q5r84ms4hnm53nnbjkkdi2788rhi.gal.	43200	in	nsec3	1 0 0 - 0600E9J86OCSMC7K0U6F27PF670TKB8P NS
0598q5r84ms4hnm53nnbjkkdi2788rhi.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. mEYvoyTruAxF9sv5liqf9MneDe/sgHjKtnj/xJgmNSHweIbPIQJdTyegmZAEY2gfLin0j5eOGmgz48v67Op7Ym4hXmsBb5EA4/YLv21RhvnwDmWPusQbQ4nJGhbQOoxpSuOxGUR+FCJkFziSLYmZ3hwd/4ja9AKWUbxdduaK98IeJN21S9KfUZpVUHBF3YEFiIfkyHVgX+K1bV/+2gnzyQ==
0600e9j86ocsmc7k0u6f27pf670tkb8p.gal.	43200	in	nsec3	1 0 0 - 061L8A6PB6OMKHBATOKR9BGG2EV624VF NS
0600e9j86ocsmc7k0u6f27pf670tkb8p.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. p2ftvUxSXIgBZeSZQGa6p+35tdXQzSDmN1JYzOoWCeHQHin2sM8IXsIJ1eNz2kqfughMT6hHchVz9mogI4Llh7S4DgjvkClhdEn+PhGl/WJCNZmpcBOL5/YFjqAP3Rb9cZlnWsSAPdZ74DbrKDspoeTB2ZgnGusdm0nFHiYfWpJvakyqJEhzq8//3gDqLht+X9UrfPmpPBgaW42o/xQXBg==
061.gal.	86400	in	ns	ns1.xunta.es.
061.gal.	86400	in	ns	ns2.xunta.es.
061l8a6pb6omkhbatokr9bgg2ev624vf.gal.	43200	in	nsec3	1 0 0 - 0678KQ83579N0B6HUN3JQ8O7MET2GV0E NS
061l8a6pb6omkhbatokr9bgg2ev624vf.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. wRguc4tJkF8VV/W1JsOgn+U+IYCsHr9tdNhMC+/ePHw6fsofFIMLXAF5wzjaPnDLFXSNIY71tbhwH4QbxUvTsr2TSNkrnBPfOKvCSZGahXsgRX8Sg+FTE61SknbwljU6InB830GfDxFtzlB7IRn4BgKp1CMt9jvJXbmojxP1Zq7LrLaAwQEmdyUoxc6+13Jzrw0IM0V3OeawT0657uiNyA==
0678kq83579n0b6hun3jq8o7met2gv0e.gal.	43200	in	nsec3	1 0 0 - 068LVS1I67563IKAP5NUVHJC4MUU279N NS DS RRSIG
0678kq83579n0b6hun3jq8o7met2gv0e.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. tD3K4VAPZa+NBKJwZ8CilrVJTt0VAjNTdjVCKRndnO3C8PWVXXGbwUD2aHAIYk60ajuYNFO8z3CgFJATHfMKXFyanDMPcZb12YB5qWttkw2kKk9fqmeIW4qVc2nvdp+rqMcNC0y0fRGMBGQp+jyZYPCquSRAV2Foy3uUNj+8JIOlj2cotRg3QrHBhk58b7QQZ7ZwE4w6AG8lS07o2504Qw==
068lvs1i67563ikap5nuvhjc4muu279n.gal.	43200	in	nsec3	1 0 0 - 06N00AOEJ9V5294L533G0MIVMHVJODMD NS
068lvs1i67563ikap5nuvhjc4muu279n.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. hjm6dEQhKs68IbrZPVVHRCVt7STSXppcCdyNFtF9EnHfbTMlNxbsGs1DDRF3Q13APOm2uXCgZxrWc42N0fXremnNm8QjIkvZodUv5HT7QgtRKymCPXDLcnp/3e2jFPBDVc9GOANugKQmgx1kIblBM1pSD17TXKDoDCROJK4gqxELe3nu9yszj6VMCR4oYhzr/YGEd9xU2kWRh6nB/9RY5g==
06n00aoej9v5294l533g0mivmhvjodmd.gal.	43200	in	nsec3	1 0 0 - 06PV5GJD02QHDBN714LGGF5M469LI7HC NS
06n00aoej9v5294l533g0mivmhvjodmd.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. TcnF5mVmtjEMSEGP4YrdHH2ilzLhxqlfV9mr5/Kofj2qI2EyEl+XM6T9OrRkWTI+m669p/JhS1R1BbQKKKVpfkQt6vnDIoTFBksBfxVWVZLESfJ4ynAJkuOugTnZwnwybrx9jXlb6FhX9SjyheNRNGfXWFqes9Y4lQorIDBaxmvX4Y8mTABo9TsGDV6lZH4YJOyMdbN5nFSd+PyiASq2/w==
06pv5gjd02qhdbn714lggf5m469li7hc.gal.	43200	in	nsec3	1 0 0 - 074CAOLJOHHOSM63IL5SIVPNJDUKQMNM NS
