xn----f38am99bqvcixn0u6bcwi.xn--rhqv96g.	86400	in	ns	ns1.openprovider.nl.
xn----f38am99bqvcixn0u6bcwi.xn--rhqv96g.	86400	in	ns	ns2.openprovider.be.
xn----f38am99bqvcixn0u6bcwi.xn--rhqv96g.	86400	in	ns	ns3.openprovider.eu.
xn--0etz3t.xn--rhqv96g.	86400	in	ns	ns1.netsto.net.
xn--0etz3t.xn--rhqv96g.	86400	in	ns	ns2.netsto.net.
xn--0iv967ab7w.xn--rhqv96g.	86400	in	ns	ns1.huaweicloud-dns.cn.
xn--0iv967ab7w.xn--rhqv96g.	86400	in	ns	ns1.huaweicloud-dns.com.
xn--0iv967ab7w.xn--rhqv96g.	86400	in	ns	ns1.huaweicloud-dns.net.
xn--0iv967ab7w.xn--rhqv96g.	86400	in	ns	ns1.huaweicloud-dns.org.
xn--0m4a.xn--rhqv96g.	86400	in	ns	ns1.dyna-ns.net.
xn--0m4a.xn--rhqv96g.	86400	in	ns	ns2.dyna-ns.net.
xn--0sqx61aa6262b9vt.xn--rhqv96g.	86400	in	ns	ns1.markmonitor.com.
xn--0sqx61aa6262b9vt.xn--rhqv96g.	86400	in	ns	ns2.markmonitor.com.
xn--0sqx61aa6262b9vt.xn--rhqv96g.	86400	in	ns	ns3.markmonitor.com.
xn--0sqx61aa6262b9vt.xn--rhqv96g.	86400	in	ns	ns4.markmonitor.com.
xn--0sqx61aa6262b9vt.xn--rhqv96g.	86400	in	ns	ns5.markmonitor.com.
xn--0sqx61aa6262b9vt.xn--rhqv96g.	86400	in	ns	ns6.markmonitor.com.
xn--0sqx61aa6262b9vt.xn--rhqv96g.	86400	in	ns	ns7.markmonitor.com.
xn--0sqz28gb0i5udntx.xn--rhqv96g.	86400	in	ns	ns1.markmonitor.com.
xn--0sqz28gb0i5udntx.xn--rhqv96g.	86400	in	ns	ns2.markmonitor.com.
xn--0sqz28gb0i5udntx.xn--rhqv96g.	86400	in	ns	ns3.markmonitor.com.
xn--0sqz28gb0i5udntx.xn--rhqv96g.	86400	in	ns	ns4.markmonitor.com.
xn--0sqz28gb0i5udntx.xn--rhqv96g.	86400	in	ns	ns5.markmonitor.com.
xn--0sqz28gb0i5udntx.xn--rhqv96g.	86400	in	ns	ns6.markmonitor.com.
xn--0sqz28gb0i5udntx.xn--rhqv96g.	86400	in	ns	ns7.markmonitor.com.
xn--0ww759fihg.xn--rhqv96g.	86400	in	ns	ns1.brandshelter.com.
