4p6vmq5ns567lohmkcuq61rsoba7pvg7.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. TN5dYh2KwoOrsfLJchziEUaC6vlBObAY2TJdKJfgDE1+2SGMOkhFyvXNAzoKudpwRm0b0IYzNgVCuHw70oAjzmY+sw6g/MyNDlXAmpD8DyZkEUo6XjmYFVEEqUa+6Q1SNnCfiDJZhJQBq//P5cZQlYts4ZH3IuZ+S8yR5r8nED4=
4u7rrn6ra3ge5vrk36dv4rukq24u2np0.dentist.	3600	in	nsec3	1 1 0 73 5AQ40FRBAUN2LMKS8GIFHLCR6KM972A1 NS DS RRSIG
4u7rrn6ra3ge5vrk36dv4rukq24u2np0.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. XHdEL6k56jMZAekzOmib58ochRG4Zw9YF4+3hvCgOYul1kWt171R9rxYQyzHWwETY76HmTRVfvWFdvbI7I1PuOq3MNECa+ER+L1L4DY1YfyaCwtXdkOYHigidBTOVIhu7HD55ddXNXSEfvM0bKDHXY66mTW7iF5Ua3msVAUPwkc=
5am.dentist.	3600	in	ns	ns-cloud-d1.googledomains.com.
5am.dentist.	3600	in	ns	ns-cloud-d2.googledomains.com.
5am.dentist.	3600	in	ns	ns-cloud-d3.googledomains.com.
5am.dentist.	3600	in	ns	ns-cloud-d4.googledomains.com.
5aq40frbaun2lmks8gifhlcr6km972a1.dentist.	3600	in	nsec3	1 1 0 73 5NMII2UI490MRHCO82PSI8UCANDED0NQ NS DS RRSIG
5aq40frbaun2lmks8gifhlcr6km972a1.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. vwrnQd4yNgiTrfb0lR6LXETFZAw7nIlwqBKDRmr5/Wzev8hkh6P0hRFcRj2nRn0nvm3FzTtNRbFgf+X9Wf6rELQUuXBCt7IzyNkpS5gB7z5JrZisoyLhX8JikqK7sQ8lm0dW0A4OHKFr8DXeeNSya4Ydxt4FljQcJy7ka0vaAgk=
5nmii2ui490mrhco82psi8ucanded0nq.dentist.	3600	in	nsec3	1 1 0 73 5Q0PFCNBAU0SC4QGMJ4KIC9Q0JI29Q8M NS DS RRSIG
5nmii2ui490mrhco82psi8ucanded0nq.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. U26ACuW5ztIDdK0rqdodSFi/l7lQ0VIpXh/YoqBzT7197ntnTAPoaE8hyv8dwixG2XNjH7yPemzCgl61pECznnHn7tmwuH+BNlg5RMOJF4ON7X0vRCXwcrIdduU2BGuNQhzZt7510LStLudkcijiuh3PUeDxy1aeMbdOM3uFCHw=
5q0pfcnbau0sc4qgmj4kic9q0ji29q8m.dentist.	3600	in	nsec3	1 1 0 73 66HLB7SJHS86F9IQTA9IGRRM0BVC4CEV NS DS RRSIG
