16h.luxe.	3600	in	ns	dns7.hichina.com.
16h.luxe.	3600	in	ns	dns8.hichina.com.
16l.luxe.	3600	in	ns	dns29.hichina.com.
16l.luxe.	3600	in	ns	dns30.hichina.com.
16p.luxe.	3600	in	ns	dns21.hichina.com.
16p.luxe.	3600	in	ns	dns22.hichina.com.
16r.luxe.	3600	in	ns	dns17.hichina.com.
16r.luxe.	3600	in	ns	dns18.hichina.com.
16s.luxe.	3600	in	ns	dns15.hichina.com.
16s.luxe.	3600	in	ns	dns16.hichina.com.
16t.luxe.	3600	in	ns	dns13.hichina.com.
16t.luxe.	3600	in	ns	dns14.hichina.com.
16u.luxe.	3600	in	ns	dns11.hichina.com.
16u.luxe.	3600	in	ns	dns12.hichina.com.
16v.luxe.	3600	in	ns	dns10.hichina.com.
16v.luxe.	3600	in	ns	dns9.hichina.com.
16w.luxe.	3600	in	ns	dns7.hichina.com.
16w.luxe.	3600	in	ns	dns8.hichina.com.
16x.luxe.	3600	in	ns	dns3.hichina.com.
16x.luxe.	3600	in	ns	dns4.hichina.com.
16y.luxe.	3600	in	ns	dns1.hichina.com.
16y.luxe.	3600	in	ns	dns2.hichina.com.
16z.luxe.	3600	in	ns	dns31.hichina.com.
16z.luxe.	3600	in	ns	dns32.hichina.com.
17.luxe.	172800	in	ns	ns1.eftydns.com.
17.luxe.	172800	in	ns	ns2.eftydns.com.
172369.luxe.	3600	in	ns	ns1.dyna-ns.net.
172369.luxe.	3600	in	ns	ns2.dyna-ns.net.
17243.luxe.	3600	in	ns	ina1.registrar.eu.
17243.luxe.	3600	in	ns	ina2.registrar.eu.
17243.luxe.	3600	in	ns	ina3.registrar.eu.
17763.luxe.	3600	in	ns	ns1.dyna-ns.net.
17763.luxe.	3600	in	ns	ns2.dyna-ns.net.
178058.luxe.	3600	in	ns	ns1.dyna-ns.net.
178058.luxe.	3600	in	ns	ns2.dyna-ns.net.
17b.luxe.	3600	in	ns	dns17.hichina.com.
17b.luxe.	3600	in	ns	dns18.hichina.com.
17c.luxe.	3600	in	ns	dns15.hichina.com.
17c.luxe.	3600	in	ns	dns16.hichina.com.
17d.luxe.	3600	in	ns	dns13.hichina.com.
17d.luxe.	3600	in	ns	dns14.hichina.com.
17f.luxe.	3600	in	ns	dns10.hichina.com.
17f.luxe.	3600	in	ns	dns9.hichina.com.
17g.luxe.	3600	in	ns	dns7.hichina.com.
17g.luxe.	3600	in	ns	dns8.hichina.com.
17h.luxe.	3600	in	ns	dns3.hichina.com.
17h.luxe.	3600	in	ns	dns4.hichina.com.
17hdhg8ne4liudifh1rt32l5e3ufg9j7.luxe.	900	in	nsec3	1 1 0 - 18DRINVKK4IHQSBQ89JRJ1J6HIN069IO NS DS RRSIG
