0ajl3s2c2tolp9jo4om2ts52t6ijbhmn.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. zFL8MP+4rZYKvFXYsEQ4xczRYcgf2vqTCkrxhzvOSZ60pTSaWrRJe2fE3ZwHWYGwyTr4pZRPGjzT0sREkJWyjWFmUG4RXHrCpFkfMPGfVkcpxAhAcV/3ttn7+GpR4qSlaaQ89my1puyi7RzsWpNCDTmeeP0pOrugAWPSXXQR82I=
0ajsnrc2h3c779iorakvm13p7d73kmfo.coffee.	3600	in	nsec3	1 1 0 73 0BNE2KNP5Q8KCRBDKG3P8CJA9J60HVS1 NS DS RRSIG
0ajsnrc2h3c779iorakvm13p7d73kmfo.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. DawxwAIYlfZJ5jwvl6lZxq5tUTS0G37zivgTBAgK5DbdXTzUPyWlqoLAqfIWaG+3dkdl8xrH1JMaV0tedTL7ZkMeJB2Tnhx4u1Ru+9Ex3NnbMItK2BNiPyzyYb6OkXOiQG/c9zy2aWl3sivWmx7ENqBTKEDbKuS+HNFn+ScTwl4=
0bne2knp5q8kcrbdkg3p8cja9j60hvs1.coffee.	3600	in	nsec3	1 1 0 73 0BNVN8G3065F86APSD1BRCV65BOQ3AVM NS DS RRSIG
0bne2knp5q8kcrbdkg3p8cja9j60hvs1.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. uV1mGvwn32ZKyUn0wR5fmPoPUrjLm02CxDc09GYb1+0cqTehwVfAYMQ32DHBDJv94MPo6Nwaj5jikYgXoImAZ4dLfwfE+bYgIFeBk1skMd46lyYNiWw3i20S4hfaulkTLovlhKk6OLILcdp3b10obxTycIgCqdiYdu2UKvWFhwQ=
0bnvn8g3065f86apsd1brcv65boq3avm.coffee.	3600	in	nsec3	1 1 0 73 0C79A48MA7RUUM75529FF9OKPSPA2J7L NS DS RRSIG
0bnvn8g3065f86apsd1brcv65boq3avm.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. mfgZS+xdZvNPmHCqhOkaANHJ18JccpMvMy9v0bsE9k6jxj0eby+MzUXmMvx+4ovGWT7uxMHvDdD4ZL7ikEnyEteCIG/xV/3upIGiiALpdXZBNlQakfhuE3nqCJ9E8z4/bAFeqdWiuNeKv/dowuotnHPZvp6CkSfOIwkgRgkk7ho=
0c79a48ma7ruum75529ff9okpspa2j7l.coffee.	3600	in	nsec3	1 1 0 73 0CRINV70T2H4POGM09SOPN5UPF2I8FB5 NS DS RRSIG
0c79a48ma7ruum75529ff9okpspa2j7l.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. HOCig5FzVB++DUDU4j7M+CepkTYtXRKKZBokdlhkl4pk17pXCquu30E2y7NW2f0BdCjkgyeSeD/jvMxnRz91eDOH+GLj0Eucej9Jmr5BWfg8Gylq7SZ1bl1RIaxX2Jm5+twoVp5YkZ2S9XcyY1tTxH/CpDCIBR+TQIZbYeg8s6Q=
0crinv70t2h4pogm09sopn5upf2i8fb5.coffee.	3600	in	nsec3	1 1 0 73 0D1OA4491K9CIIVL5EMU502DS82RUQ61 NS DS RRSIG
