1220.wien.	14400	in	ns	ns4.netzadresse.at.
123.wien.	14400	in	ds	58378 10 2 653B0FED027C39F201AEA4C7E47D5C4A1EFBF4490CA01BC6B976DDB7FCD82A0E
123.wien.	14400	in	ns	ns1.site.eu.
123.wien.	14400	in	ns	ns2.site.nl.
123.wien.	14400	in	ns	ns3.site.be.
123.wien.	14400	in	ns	ns4.site.de.
123.wien.	14400	in	rrsig	DS 8 2 14400 20260208013003 20260125000003 29313 wien. XWP8YsnkOj0X+/Vr/q/Jt67gHN6yFFr3DPUxNxLSNmPLgmpWsf7DfGP1pj5vQQvWJV80NtfbPUR3o9oAVJU4Tc/ckAZ/swpGwIl4ubIEpNrcIbBSk8bNmYI7di8Ev1oYFc/bm/aLeou0I/CKB4e8MzpoiyrHDuw8J4c6ddprG/Q=
1230.wien.	14400	in	ns	ns1.netzadresse.at.
1230.wien.	14400	in	ns	ns2.netzadresse.at.
1230.wien.	14400	in	ns	ns3.netzadresse.at.
1230.wien.	14400	in	ns	ns4.netzadresse.at.
1230liesing.wien.	14400	in	ns	ns1020.ui-dns.com.
1230liesing.wien.	14400	in	ns	ns1032.ui-dns.biz.
1230liesing.wien.	14400	in	ns	ns1043.ui-dns.org.
1230liesing.wien.	14400	in	ns	ns1120.ui-dns.de.
123b.wien.	14400	in	ns	josh.ns.cloudflare.com.
123b.wien.	14400	in	ns	roxy.ns.cloudflare.com.
123consulting.wien.	14400	in	ns	ns.udag.de.
123consulting.wien.	14400	in	ns	ns.udag.net.
123consulting.wien.	14400	in	ns	ns.udag.org.
123gold.wien.	14400	in	ns	ns1.netzadresse.at.
123gold.wien.	14400	in	ns	ns2.netzadresse.at.
123gold.wien.	14400	in	ns	ns3.netzadresse.at.
123gold.wien.	14400	in	ns	ns4.netzadresse.at.
1240.wien.	14400	in	ns	ns1.first-ns.de.
1240.wien.	14400	in	ns	robotns2.second-ns.de.
1240.wien.	14400	in	ns	robotns3.second-ns.com.
125er.wien.	14400	in	ns	ns5.kasserver.com.
125er.wien.	14400	in	ns	ns6.kasserver.com.
12c7cv61gieeoee594n2ijqgho3s858c.wien.	86400	in	nsec3	1 1 0 - 12UO1SP03KOM62I3D8OTMH2A91NS5SB4 NS DS RRSIG
