amazon.xn--5tzm5g.	3600	in	ns	nsusa.comlaude.net.
ambc.xn--5tzm5g.	3600	in	ns	a.ezdnscenter.com.
ambc.xn--5tzm5g.	3600	in	ns	b.ezdnscenter.com.
amlhc.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
amlhc.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
android.xn--5tzm5g.	3600	in	ns	ns1.googledomains.com.
android.xn--5tzm5g.	3600	in	ns	ns2.googledomains.com.
android.xn--5tzm5g.	3600	in	ns	ns3.googledomains.com.
android.xn--5tzm5g.	3600	in	ns	ns4.googledomains.com.
aomenchuanzhen.xn--5tzm5g.	3600	in	ns	craig.ns.cloudflare.com.
aomenchuanzhen.xn--5tzm5g.	3600	in	ns	norah.ns.cloudflare.com.
aomenchuanzhen1.xn--5tzm5g.	3600	in	ns	craig.ns.cloudflare.com.
aomenchuanzhen1.xn--5tzm5g.	3600	in	ns	norah.ns.cloudflare.com.
aomenchuanzhen2.xn--5tzm5g.	3600	in	ns	craig.ns.cloudflare.com.
aomenchuanzhen2.xn--5tzm5g.	3600	in	ns	norah.ns.cloudflare.com.
aomenchuanzhen3.xn--5tzm5g.	3600	in	ns	craig.ns.cloudflare.com.
aomenchuanzhen3.xn--5tzm5g.	3600	in	ns	norah.ns.cloudflare.com.
aomenchuanzhen4.xn--5tzm5g.	3600	in	ns	craig.ns.cloudflare.com.
aomenchuanzhen4.xn--5tzm5g.	3600	in	ns	norah.ns.cloudflare.com.
apollogo.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
apollogo.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
apple.xn--5tzm5g.	3600	in	ns	a.ns.apple.com.
apple.xn--5tzm5g.	3600	in	ns	b.ns.apple.com.
apple.xn--5tzm5g.	3600	in	ns	c.ns.apple.com.
apple.xn--5tzm5g.	3600	in	ns	d.ns.apple.com.
applecare.xn--5tzm5g.	3600	in	ns	a.ns.apple.com.
applecare.xn--5tzm5g.	3600	in	ns	b.ns.apple.com.
