0aatvqm68n4imf85i9vfti16kj3ps95d.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. sli3n3Q2Bi115Fnaqn2J0ctUM7lL6kkkvGFVbbzHM77wlHdbTItw7fhbmUm2ZrM83rZUlqWpuKDVXSCKuGYvuk3FCafHwzWAt2mRcFrF2B9jKmsiDrMkgE3JtqRWD5ysZdn/s1P22G2N1EcPudgrQzv4vK/lpCD47Z4mdlhcA90=
0ag04s3rv596svi3bt5fvo0uus6492q1.legal.	3600	in	nsec3	1 1 0 73 0BAJEKRQ9UJ6E765P523IQVGHAQ83IBU NS DS RRSIG
0ag04s3rv596svi3bt5fvo0uus6492q1.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. W7jc80yx4/PD41FdZbfVXIGNmAGWGKUZNDpRAJNVWV3F3JoyjQMG6v+62MrFwAAfnC1w+8Ut0MXVSWhh8XYrzwSGBb0ayLd741tg6fcAf+Gu9AoH9aN8A7TurnOUAHBcXKcemr918Iit8vKXaFP/8wXVsQJnyvFkwvS6P2+xN+E=
0bajekrq9uj6e765p523iqvghaq83ibu.legal.	3600	in	nsec3	1 1 0 73 0BUNIQHT6IOMEA0LF19MANAF4RUVALIQ NS DS RRSIG
0bajekrq9uj6e765p523iqvghaq83ibu.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. YLpJ3TRgi/CFrR8uPevzTwqIuoCuT7RWyrIFEU3LsX6SXDnv6hnDHAzCkmfNUvCiX6I4R7BqF6OvaoCCMTkB64Y+bSVMnYxfGGLlzQbkLo9ZL6A70vgOC+tMhXbVGYtn7dymQq/FflvIZrsUqB2cX9lH2mp/KHlemXMnVfugiLE=
0buniqht6iomea0lf19manaf4ruvaliq.legal.	3600	in	nsec3	1 1 0 73 0CTITDCHS8Q40RBKBT9V5JLQFF4N2I4V NS DS RRSIG
0buniqht6iomea0lf19manaf4ruvaliq.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. KnM7VI7zQSdKR9HfbDKqZk4WMIkq3Mo1DHSUZjzie+ZILBzKF+zCtIzxexqIjiPljThrLPlrRszKZNZytGnQlj2qT0OeQPF/ramGx2fx1i64TdN7EZVyF5nXQ2JEGS6gnXkz7ZdR3jFc8KZNfGuLnQkHzwH2Z90N5AQn3+i6n0Q=
0ctitdchs8q40rbkbt9v5jlqff4n2i4v.legal.	3600	in	nsec3	1 1 0 73 0E26MPNORJUHTMDB4AR3QES3GKEMG2UH NS DS RRSIG
0ctitdchs8q40rbkbt9v5jlqff4n2i4v.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. nGPs49jPZSnsTGWy6uJ8u5JAXFZcBB76M2wAjSDjskcNgHnvEjk5xm6wHY6r69BUMiTkgLujXuW8j7gu8eqcHxIFxNMz2nrkAK04WDHgxfb0PYyEBZc5Z3DZzEBBAfzSesKPaqRHan1qEzLKztMOTY06XJG04jgQUDRep+x79BU=
0e26mpnorjuhtmdb4ar3qes3gkemg2uh.legal.	3600	in	nsec3	1 1 0 73 0F3LUMVOMBAH3534JUFCDA0O485SJE4L NS DS RRSIG
0e26mpnorjuhtmdb4ar3qes3gkemg2uh.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. Vo98dARs4zEVtifEKkhQ7evpqiRNO7V/xpczevHP7c5zQsm8Pzzh5TOSfsHfB5a6g8BezdTqotMEmChTSZViWhgdH5JiTK4j97KNNOHOsiRee766g0FjERjXFGkhVNj62qYxsvvF+X3LUcY7CHbZQNx67qFlvLa16hoKXarOezY=
0f3lumvombah3534jufcda0o485sje4l.legal.	3600	in	nsec3	1 1 0 73 0G1PGFJ4MT7FGSDJSPLS0GIIRJFBU1QA NS DS RRSIG
